               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11198,            0.016406,            0.031669,             0.72429,             0.23697,             0.20945,            0.051798,            0.088306,             0.01552,            0.019618,             0.00203,             0.00203,             0.08173
                   1,            0.083941,            0.013652,            0.013346,             0.79685,             0.33464,             0.32983,             0.10383,            0.069133,            0.012995,            0.010791,           0.0040699,           0.0040699,             0.06337
                   2,            0.073512,            0.012671,            0.010084,             0.85668,             0.35209,              0.3498,            0.098484,            0.067921,            0.012856,           0.0097622,           0.0061095,           0.0061095,            0.045009
                   3,            0.065499,            0.012485,           0.0089292,             0.91911,              0.4015,              0.5604,             0.23011,            0.058501,            0.014157,           0.0092875,           0.0081484,           0.0081484,            0.026648
                   4,            0.059962,            0.012248,           0.0081519,             0.48125,             0.52935,             0.50617,             0.20805,             0.05825,             0.01581,           0.0083119,           0.0099965,           0.0099965,           0.0099965
                   5,            0.055071,            0.011909,           0.0072135,             0.65727,             0.64592,             0.66118,             0.26468,            0.053529,            0.012728,           0.0056567,           0.0099965,           0.0099965,           0.0099965
                   6,            0.051403,            0.011497,           0.0065329,             0.69327,             0.68104,             0.71253,             0.33956,            0.048166,            0.011388,           0.0057191,           0.0099945,           0.0099945,           0.0099945
                   7,            0.049226,            0.011162,           0.0060118,             0.66283,             0.71287,             0.69646,             0.36257,             0.04391,            0.010321,           0.0048758,           0.0099921,           0.0099921,           0.0099921
                   8,            0.047438,            0.010896,           0.0055243,              0.8385,             0.75354,             0.74938,             0.43851,            0.043002,            0.010808,           0.0039796,           0.0099893,           0.0099893,           0.0099893
                   9,            0.045986,            0.010735,           0.0053139,             0.80095,             0.71879,             0.71421,             0.41853,            0.042875,            0.010482,           0.0047431,            0.009986,            0.009986,            0.009986
                  10,             0.04513,            0.010636,           0.0049735,             0.91925,             0.71929,             0.74171,              0.4325,            0.043378,            0.010579,           0.0042844,           0.0099822,           0.0099822,           0.0099822
                  11,            0.044299,            0.010517,           0.0047944,             0.89122,             0.72516,             0.76537,             0.42964,            0.041478,            0.010229,           0.0042158,           0.0099781,           0.0099781,           0.0099781
                  12,            0.043772,            0.010413,            0.004843,             0.83183,             0.86598,             0.84346,             0.46614,             0.04247,            0.010015,           0.0034862,           0.0099735,           0.0099735,           0.0099735
                  13,            0.043428,            0.010304,           0.0046455,             0.91746,             0.73591,             0.79205,             0.46973,            0.040415,           0.0099584,           0.0036499,           0.0099685,           0.0099685,           0.0099685
                  14,            0.042261,             0.01019,           0.0042204,             0.81434,             0.84633,             0.81933,             0.46189,             0.04019,           0.0096093,           0.0036965,            0.009963,            0.009963,            0.009963
                  15,            0.042001,            0.010134,           0.0042034,              0.9065,             0.87571,             0.86823,              0.5032,            0.039754,           0.0096133,           0.0032015,           0.0099571,           0.0099571,           0.0099571
                  16,            0.041442,            0.010044,            0.004076,             0.86374,             0.88477,             0.87798,             0.51539,            0.040219,           0.0096452,           0.0032064,           0.0099508,           0.0099508,           0.0099508
                  17,            0.041469,            0.010062,           0.0042398,             0.83613,             0.80116,             0.82745,              0.5021,            0.039635,           0.0096194,            0.003374,            0.009944,            0.009944,            0.009944
                  18,             0.04113,           0.0099161,           0.0040425,             0.94381,             0.79315,             0.82102,             0.50391,            0.040527,           0.0095385,           0.0033818,           0.0099368,           0.0099368,           0.0099368
                  19,            0.040769,           0.0098361,           0.0038553,             0.90589,             0.86036,             0.87299,               0.533,            0.039248,           0.0093511,           0.0032379,           0.0099291,           0.0099291,           0.0099291
                  20,            0.040558,           0.0097388,           0.0038059,             0.86855,             0.80115,             0.81345,             0.49342,            0.039347,           0.0096091,           0.0032485,           0.0099211,           0.0099211,           0.0099211
                  21,            0.040023,           0.0096235,           0.0037936,              0.8558,             0.80966,             0.82505,             0.51009,            0.038767,           0.0094245,           0.0028904,           0.0099126,           0.0099126,           0.0099126
                  22,            0.039764,            0.009609,           0.0036838,              0.9564,             0.84537,               0.895,              0.5278,            0.039021,           0.0092431,           0.0029004,           0.0099037,           0.0099037,           0.0099037
                  23,            0.039943,           0.0096832,           0.0036827,             0.96633,             0.87835,             0.88854,             0.48626,            0.039819,           0.0093159,           0.0028738,           0.0098943,           0.0098943,           0.0098943
                  24,            0.039536,           0.0095702,           0.0036342,             0.95466,             0.88271,             0.88992,             0.52836,            0.037798,           0.0089659,           0.0028444,           0.0098845,           0.0098845,           0.0098845
                  25,            0.039197,           0.0095569,           0.0036563,             0.96309,             0.83784,             0.87824,             0.53339,            0.038247,           0.0091617,            0.002869,           0.0098743,           0.0098743,           0.0098743
                  26,            0.039231,             0.00952,           0.0036805,              0.8832,             0.87777,             0.87115,             0.50872,            0.038286,           0.0093452,           0.0027741,           0.0098637,           0.0098637,           0.0098637
                  27,            0.038902,           0.0094915,           0.0034761,             0.93745,             0.88054,             0.89871,             0.51865,             0.03796,           0.0091137,           0.0025654,           0.0098527,           0.0098527,           0.0098527
                  28,            0.038916,           0.0094548,           0.0035592,             0.97759,             0.83953,             0.87432,              0.5223,            0.038352,            0.009211,           0.0028143,           0.0098412,           0.0098412,           0.0098412
                  29,            0.038802,           0.0093786,           0.0035714,             0.96946,             0.86147,             0.88548,             0.54781,            0.037693,            0.009006,            0.002765,           0.0098293,           0.0098293,           0.0098293
                  30,            0.038311,           0.0093582,           0.0034301,             0.86884,             0.87183,             0.88318,             0.54009,            0.038812,           0.0091306,             0.00299,            0.009817,            0.009817,            0.009817
                  31,            0.038246,           0.0094318,            0.003369,             0.95194,             0.89023,             0.90106,             0.54616,            0.038064,            0.008979,           0.0026068,           0.0098042,           0.0098042,           0.0098042
                  32,            0.038062,           0.0093713,           0.0033115,             0.97953,             0.86846,             0.88738,             0.57139,             0.03678,           0.0088028,           0.0024562,           0.0097911,           0.0097911,           0.0097911
                  33,            0.037995,           0.0092728,           0.0033359,             0.97937,             0.88275,             0.89467,             0.56203,            0.037181,           0.0088088,           0.0024978,           0.0097775,           0.0097775,           0.0097775
                  34,            0.038115,           0.0093382,           0.0032898,             0.95558,             0.88762,             0.89114,             0.56228,            0.036506,           0.0087896,           0.0024332,           0.0097635,           0.0097635,           0.0097635
                  35,            0.037878,           0.0091438,           0.0031446,             0.96148,             0.88449,             0.88649,             0.52852,            0.037074,           0.0087003,           0.0022771,           0.0097491,           0.0097491,           0.0097491
                  36,            0.037624,           0.0091863,           0.0031163,               0.972,             0.87115,             0.88752,             0.53131,            0.036756,           0.0088511,           0.0024804,           0.0097343,           0.0097343,           0.0097343
                  37,            0.037595,            0.009224,           0.0031926,              0.9689,             0.87563,             0.89457,             0.53691,            0.036606,            0.008857,           0.0024073,           0.0097191,           0.0097191,           0.0097191
                  38,            0.037624,           0.0092365,            0.003035,             0.97011,             0.86771,             0.89138,              0.5316,            0.037326,           0.0088278,            0.002343,           0.0097035,           0.0097035,           0.0097035
                  39,            0.037393,           0.0092806,           0.0031017,             0.97453,             0.88918,             0.89993,             0.55216,            0.037233,           0.0088622,            0.002485,           0.0096875,           0.0096875,           0.0096875
                  40,            0.037353,            0.009161,           0.0029464,             0.97308,             0.87533,             0.90661,             0.56243,            0.036249,           0.0086431,           0.0024609,            0.009671,            0.009671,            0.009671
                  41,             0.03716,           0.0090954,           0.0030162,             0.97599,             0.87137,             0.89186,              0.5359,            0.036932,           0.0089216,           0.0024118,           0.0096542,           0.0096542,           0.0096542
                  42,            0.036771,           0.0090523,           0.0029202,             0.98097,             0.87947,             0.89394,             0.55556,            0.035981,           0.0086394,           0.0023331,           0.0096369,           0.0096369,           0.0096369
                  43,             0.03707,           0.0090779,           0.0029708,             0.94756,             0.88864,             0.90725,             0.55191,            0.035902,           0.0085813,           0.0022528,           0.0096193,           0.0096193,           0.0096193
                  44,            0.037134,           0.0091409,           0.0029283,             0.86323,             0.88214,             0.89636,             0.54634,             0.03606,           0.0086619,           0.0021587,           0.0096013,           0.0096013,           0.0096013
                  45,            0.036504,           0.0089313,            0.002882,             0.94854,             0.86319,             0.90544,             0.57161,            0.036449,           0.0086252,           0.0020965,           0.0095828,           0.0095828,           0.0095828
                  46,            0.036453,           0.0089642,           0.0029113,             0.98084,             0.87006,             0.90914,             0.56437,            0.035844,           0.0086452,           0.0022082,            0.009564,            0.009564,            0.009564
                  47,            0.036512,           0.0089879,           0.0029013,             0.98441,             0.87494,              0.9114,             0.57525,            0.036127,           0.0084366,           0.0020298,           0.0095448,           0.0095448,           0.0095448
                  48,            0.036605,           0.0089218,            0.002854,             0.98199,             0.87802,             0.92207,              0.5809,            0.036278,           0.0085655,           0.0019723,           0.0095252,           0.0095252,           0.0095252
                  49,            0.036637,           0.0090242,           0.0029933,             0.97696,             0.88021,              0.9174,             0.56854,            0.035985,           0.0085109,           0.0022079,           0.0095052,           0.0095052,           0.0095052
                  50,             0.03618,           0.0089423,           0.0028222,             0.97234,             0.88927,             0.92226,             0.57509,            0.035912,           0.0085027,           0.0020387,           0.0094849,           0.0094849,           0.0094849
                  51,            0.036552,            0.009037,           0.0029611,             0.97789,             0.88337,              0.9032,              0.5732,            0.036063,            0.008565,           0.0022835,           0.0094641,           0.0094641,           0.0094641
                  52,            0.036294,           0.0090047,           0.0028902,             0.98196,             0.88133,             0.89959,             0.56323,            0.035999,           0.0085406,             0.00227,            0.009443,            0.009443,            0.009443
                  53,            0.036288,           0.0089464,            0.002852,             0.98001,             0.88413,             0.89612,             0.57695,            0.035833,           0.0085286,           0.0022056,           0.0094215,           0.0094215,           0.0094215
                  54,            0.036101,           0.0088257,           0.0025909,             0.98359,             0.88149,             0.89565,             0.57942,             0.03579,           0.0085518,           0.0021907,           0.0093996,           0.0093996,           0.0093996
                  55,            0.035925,            0.008906,            0.002803,             0.98405,             0.87176,             0.89748,             0.57919,            0.035698,           0.0085785,           0.0021974,           0.0093773,           0.0093773,           0.0093773
                  56,            0.036174,           0.0089998,           0.0028307,             0.97022,             0.89022,             0.89727,             0.58313,            0.035516,           0.0085325,           0.0021902,           0.0093547,           0.0093547,           0.0093547
                  57,            0.035975,           0.0089333,           0.0027561,             0.95685,             0.87264,              0.9026,              0.5856,            0.035357,           0.0084972,           0.0020664,           0.0093317,           0.0093317,           0.0093317
                  58,            0.035739,           0.0087898,           0.0026661,             0.97825,             0.87897,             0.89833,             0.58004,            0.035557,           0.0085555,           0.0021003,           0.0093083,           0.0093083,           0.0093083
                  59,            0.035903,           0.0088521,           0.0027585,             0.96784,              0.8914,             0.90529,             0.58254,            0.035632,           0.0085759,            0.002299,           0.0092846,           0.0092846,           0.0092846
                  60,            0.035529,           0.0088483,           0.0025741,             0.95726,             0.88961,             0.90611,             0.58177,            0.035584,           0.0085915,           0.0023816,           0.0092605,           0.0092605,           0.0092605
                  61,            0.035518,           0.0087755,           0.0025088,             0.88486,             0.89468,             0.89583,             0.58214,            0.035286,           0.0085193,           0.0023193,           0.0092361,           0.0092361,           0.0092361
                  62,            0.035591,           0.0087365,           0.0027515,             0.90154,             0.89559,             0.89169,             0.57815,            0.035479,           0.0085061,           0.0021997,           0.0092113,           0.0092113,           0.0092113
                  63,            0.035528,           0.0088404,           0.0027351,             0.86031,             0.89568,             0.88377,             0.58598,              0.0354,            0.008503,           0.0021989,           0.0091861,           0.0091861,           0.0091861
                  64,            0.035587,           0.0088004,           0.0025887,             0.96909,              0.8249,             0.87869,             0.58408,            0.035309,           0.0084757,           0.0021401,           0.0091606,           0.0091606,           0.0091606
                  65,            0.035142,           0.0087418,           0.0025538,             0.86113,             0.89452,             0.87828,              0.5855,            0.035232,           0.0084341,           0.0021297,           0.0091348,           0.0091348,           0.0091348
                  66,            0.035628,           0.0088791,           0.0026085,             0.97827,             0.88665,             0.90038,             0.58243,            0.035151,           0.0084412,            0.002113,           0.0091086,           0.0091086,           0.0091086
                  67,            0.035678,           0.0089827,           0.0025947,             0.98196,             0.88386,             0.90082,             0.58222,            0.035071,            0.008453,           0.0021619,           0.0090821,           0.0090821,           0.0090821
                  68,            0.034864,           0.0087183,           0.0024997,             0.91996,             0.88402,             0.88998,             0.58608,            0.035045,           0.0084727,           0.0022041,           0.0090552,           0.0090552,           0.0090552
                  69,            0.034849,           0.0087877,           0.0024828,             0.87979,             0.88332,             0.86816,             0.57053,            0.034989,           0.0085091,           0.0021839,            0.009028,            0.009028,            0.009028
                  70,            0.035165,           0.0087575,           0.0024447,             0.87603,             0.88495,             0.86873,             0.56872,            0.035022,           0.0085498,           0.0022967,           0.0090004,           0.0090004,           0.0090004
                  71,            0.035145,           0.0086562,           0.0025117,             0.87769,             0.88339,               0.868,             0.56824,            0.034993,           0.0085642,           0.0022968,           0.0089726,           0.0089726,           0.0089726
                  72,            0.035029,           0.0086729,           0.0025471,             0.87895,             0.88382,              0.8685,             0.57067,            0.034958,           0.0085815,           0.0022671,           0.0089444,           0.0089444,           0.0089444
                  73,            0.034939,           0.0086579,           0.0025567,             0.88315,             0.87942,             0.87426,             0.57555,            0.034892,           0.0085319,           0.0021885,           0.0089159,           0.0089159,           0.0089159
                  74,            0.035148,            0.008563,           0.0023899,             0.88493,             0.87874,             0.87282,             0.57411,            0.034879,           0.0084891,           0.0021293,            0.008887,            0.008887,            0.008887
                  75,            0.034912,           0.0087263,           0.0025151,              0.8842,             0.88046,              0.8881,             0.58384,            0.034919,           0.0085011,           0.0020859,           0.0088579,           0.0088579,           0.0088579
                  76,            0.035069,           0.0087281,           0.0024984,             0.88513,             0.87996,             0.88846,              0.5832,            0.034906,            0.008478,           0.0020637,           0.0088284,           0.0088284,           0.0088284
                  77,            0.034591,           0.0085797,           0.0024334,             0.88549,             0.87922,             0.88898,             0.58682,            0.034827,           0.0084225,           0.0020301,           0.0087987,           0.0087987,           0.0087987
                  78,              0.0344,           0.0085547,           0.0023987,              0.9868,             0.87326,             0.90916,             0.58533,            0.034803,           0.0084421,           0.0020264,           0.0087686,           0.0087686,           0.0087686
                  79,            0.034383,           0.0085587,            0.002291,             0.98594,               0.877,             0.90793,             0.58213,            0.034755,           0.0083978,           0.0020095,           0.0087382,           0.0087382,           0.0087382
                  80,            0.034479,           0.0085989,           0.0023051,             0.98646,             0.87794,             0.90692,             0.58871,              0.0347,           0.0083667,           0.0019971,           0.0087075,           0.0087075,           0.0087075
                  81,            0.034666,           0.0086271,           0.0023127,              0.9889,             0.87813,             0.91068,             0.58874,            0.034701,           0.0083523,           0.0019986,           0.0086765,           0.0086765,           0.0086765
                  82,            0.034828,            0.008606,           0.0025049,             0.98839,             0.87888,             0.91054,             0.59266,            0.034697,             0.00836,           0.0020085,           0.0086452,           0.0086452,           0.0086452
                  83,            0.034654,           0.0086148,           0.0024109,             0.98823,             0.88011,             0.90873,             0.59065,             0.03471,           0.0083732,           0.0020178,           0.0086137,           0.0086137,           0.0086137
                  84,            0.034624,           0.0086499,            0.002371,             0.98819,             0.88024,             0.90871,             0.58875,            0.034715,           0.0083662,           0.0020199,           0.0085818,           0.0085818,           0.0085818
                  85,             0.03425,           0.0085721,           0.0024439,             0.98557,             0.88036,             0.90649,             0.59001,            0.034734,           0.0083872,           0.0020083,           0.0085497,           0.0085497,           0.0085497
                  86,            0.034203,           0.0086054,           0.0023625,             0.98313,             0.88041,             0.90889,             0.59338,            0.034783,           0.0083715,           0.0020063,           0.0085173,           0.0085173,           0.0085173
                  87,            0.034298,           0.0084943,           0.0022875,             0.98569,             0.87667,               0.909,             0.59298,            0.034779,           0.0083602,           0.0020025,           0.0084846,           0.0084846,           0.0084846
                  88,            0.034226,           0.0085083,           0.0022714,             0.98013,             0.88067,             0.90913,             0.59376,            0.034769,           0.0083724,           0.0020087,           0.0084516,           0.0084516,           0.0084516
                  89,            0.034406,           0.0085118,           0.0023624,             0.98014,             0.88082,             0.91069,             0.59454,             0.03473,            0.008366,           0.0020051,           0.0084184,           0.0084184,           0.0084184
                  90,            0.033865,           0.0084238,           0.0022143,             0.98078,             0.88072,             0.91076,             0.59287,            0.034719,           0.0083563,           0.0020016,           0.0083849,           0.0083849,           0.0083849
                  91,            0.033841,           0.0085491,           0.0023689,             0.97894,             0.88065,             0.91072,             0.58577,            0.034715,           0.0083725,           0.0020045,           0.0083511,           0.0083511,           0.0083511
                  92,             0.03404,           0.0085026,            0.002244,             0.97866,             0.88021,             0.91102,             0.58433,            0.034683,           0.0083641,           0.0019995,           0.0083171,           0.0083171,           0.0083171
                  93,            0.033868,           0.0085057,           0.0022886,             0.97774,             0.88034,             0.91103,             0.58319,            0.034703,            0.008352,            0.001993,           0.0082829,           0.0082829,           0.0082829
                  94,            0.034092,           0.0085007,           0.0021865,             0.97707,             0.88048,             0.91111,             0.58346,            0.034727,           0.0083489,             0.00199,           0.0082483,           0.0082483,           0.0082483
